NAME                   ZONE        MACHINE_TYPE  STATUS
psi-compare            us-east1-b  e2-highmem-8  TERMINATED
lepsi-coord-rerun      us-east1-c  e2-highmem-4  TERMINATED
lepsi-shard-2-rerun    us-east1-c  e2-highmem-4  TERMINATED
lepsi-shard-3-rerun    us-east1-c  e2-highmem-4  TERMINATED
lepsi-shard-0-rerun-d  us-east1-d  e2-highmem-4  TERMINATED
lepsi-shard-1-rerun-d  us-east1-d  e2-highmem-4  TERMINATED
lepsi-shard-4-rerun-d  us-east1-d  e2-highmem-4  TERMINATED
lepsi-shard-5-rerun-d  us-east1-d  e2-highmem-4  TERMINATED
lepsi-shard-6-rerun-d  us-east1-d  e2-highmem-4  TERMINATED
