m	n	shards	total_sec	init_sec	intersect_sec	wall_ms	matches	success
1000	100	7	158.107633419	6.069895839	98.063664072	158133	16	true
2000	100	7	164.080279882	10.518714724	103.076822417	164103	18	true
4000	100	7	187.505573084	20.133738653	111.825423323	187550	20	true
8000	100	7	237.135068287	40.517068203	126.434350822	237163	18	true
10000	100	7	234.83531925	48.33514737	122.163910674	234865	24	true
