m,matches_sum,actual_dec_calls_sum,total_possible_dec_calls_sum,reduction_factor
1000,16,55,200000,3636.364
2000,18,63,400000,6349.206
4000,20,67,800000,11940.299
8000,18,54,1600000,29629.63
10000,24,87,2000000,22988.506
