m,n,total_sec,init_sec,enc_sec,intersect_sec,peak_rss_mb,matches_found,expected_intersection,actual_dec_calls,total_possible_dec_calls,git_commit,machine_type,vcpus,ram_gb
1000,100,19.944290186,6.508700956,12.315629334,1.119808496,6141,10,10,10,200000,cea7d83,e2-highmem-8,8,62.80588912963867
2000,100,24.907843263,11.520400167,10.775441835,2.611845391,7532,10,10,10,400000,cea7d83,e2-highmem-8,8,62.80588912963867
4000,100,41.876590601,23.438036528,11.277519742,7.160756152,11007,10,10,10,800000,cea7d83,e2-highmem-8,8,62.80588912963867
8000,100,74.639255057,46.274393134,9.408967266,18.955507817,17162,10,10,10,1600000,cea7d83,e2-highmem-8,8,62.80588912963867
10000,100,94.516296865,56.496360652,9.364191907,28.655249636,20764,10,10,10,2000000,cea7d83,e2-highmem-8,8,62.80588912963867
